classification_id,user_name,user_id,workflow_id,task,created_at,subject_id,extractor,data.no-i-don-t-see-any-dolphin-echolocation-here,data.aggregation_version,data.yes-dolphin-echolocation-is-present,data.no-there-are-no-spectral-bands-present,data.yes-i-see-spectral-bands,data.None,data.i-m-not-sure
627455908,ejohnston8,2835326.0,28567,T1,2025-04-02 00:40:43 UTC,107507595,question_extractor,,5.2.0,,,,,
627455926,ejohnston8,2835326.0,28567,T0,2025-04-02 00:40:49 UTC,107507799,question_extractor,1.0,5.2.0,,,,,
627455926,ejohnston8,2835326.0,28567,T1,2025-04-02 00:40:49 UTC,107507799,question_extractor,,5.2.0,,,,,
627455932,ejohnston8,2835326.0,28567,T0,2025-04-02 00:40:52 UTC,107507593,question_extractor,1.0,5.2.0,,,,,
627455932,ejohnston8,2835326.0,28567,T1,2025-04-02 00:40:52 UTC,107507593,question_extractor,,5.2.0,,,,,
627455951,ejohnston8,2835326.0,28567,T0,2025-04-02 00:41:00 UTC,107507795,question_extractor,,5.2.0,1.0,,,,
627455951,ejohnston8,2835326.0,28567,T1,2025-04-02 00:41:00 UTC,107507795,question_extractor,,5.2.0,,,1.0,,
627456052,ejohnston8,2835326.0,28567,T0,2025-04-02 00:41:22 UTC,107507596,question_extractor,,5.2.0,1.0,,,,
627456052,ejohnston8,2835326.0,28567,T1,2025-04-02 00:41:22 UTC,107507596,question_extractor,,5.2.0,,1.0,,,
627456086,ejohnston8,2835326.0,28567,T0,2025-04-02 00:41:30 UTC,107507796,question_extractor,,5.2.0,1.0,,,,
627456086,ejohnston8,2835326.0,28567,T1,2025-04-02 00:41:30 UTC,107507796,question_extractor,,5.2.0,,1.0,,,
627456901,ejohnston8,2835326.0,28567,T0,2025-04-02 00:46:25 UTC,107507594,question_extractor,,5.2.0,1.0,,,,
627456901,ejohnston8,2835326.0,28567,T1,2025-04-02 00:46:25 UTC,107507594,question_extractor,,5.2.0,,1.0,,,
627456909,ejohnston8,2835326.0,28567,T0,2025-04-02 00:46:28 UTC,107507593,question_extractor,1.0,5.2.0,,,,,
627456909,ejohnston8,2835326.0,28567,T1,2025-04-02 00:46:28 UTC,107507593,question_extractor,,5.2.0,,,,,
627457100,ejohnston8,2835326.0,28567,T0,2025-04-02 00:47:52 UTC,107507598,question_extractor,,5.2.0,1.0,,,,
627457100,ejohnston8,2835326.0,28567,T1,2025-04-02 00:47:52 UTC,107507598,question_extractor,,5.2.0,,1.0,,,
627457149,ejohnston8,2835326.0,28567,T0,2025-04-02 00:48:07 UTC,107507797,question_extractor,,5.2.0,1.0,,,,
627457149,ejohnston8,2835326.0,28567,T1,2025-04-02 00:48:07 UTC,107507797,question_extractor,,5.2.0,,,1.0,,
627457169,ejohnston8,2835326.0,28567,T0,2025-04-02 00:48:15 UTC,107507798,question_extractor,,5.2.0,1.0,,,,
627457169,ejohnston8,2835326.0,28567,T1,2025-04-02 00:48:15 UTC,107507798,question_extractor,,5.2.0,,1.0,,,
627457181,ejohnston8,2835326.0,28567,T0,2025-04-02 00:48:20 UTC,107507592,question_extractor,1.0,5.2.0,,,,,
627457181,ejohnston8,2835326.0,28567,T1,2025-04-02 00:48:20 UTC,107507592,question_extractor,,5.2.0,,,,,
627457206,ejohnston8,2835326.0,28567,T0,2025-04-02 00:48:28 UTC,107507795,question_extractor,,5.2.0,1.0,,,,
627457206,ejohnston8,2835326.0,28567,T1,2025-04-02 00:48:28 UTC,107507795,question_extractor,,5.2.0,,,1.0,,
627457238,ejohnston8,2835326.0,28567,T0,2025-04-02 00:48:37 UTC,107507796,question_extractor,,5.2.0,1.0,,,,
627457238,ejohnston8,2835326.0,28567,T1,2025-04-02 00:48:37 UTC,107507796,question_extractor,,5.2.0,,1.0,,,
627457243,ejohnston8,2835326.0,28567,T0,2025-04-02 00:48:40 UTC,107507799,question_extractor,1.0,5.2.0,,,,,
627457243,ejohnston8,2835326.0,28567,T1,2025-04-02 00:48:40 UTC,107507799,question_extractor,,5.2.0,,,,,
627457258,ejohnston8,2835326.0,28567,T0,2025-04-02 00:48:45 UTC,107507595,question_extractor,1.0,5.2.0,,,,,
627457258,ejohnston8,2835326.0,28567,T1,2025-04-02 00:48:45 UTC,107507595,question_extractor,,5.2.0,,,,,
627457280,ejohnston8,2835326.0,28567,T0,2025-04-02 00:48:52 UTC,107507597,question_extractor,1.0,5.2.0,,,,,
627457280,ejohnston8,2835326.0,28567,T1,2025-04-02 00:48:52 UTC,107507597,question_extractor,,5.2.0,,,,,
627457289,ejohnston8,2835326.0,28567,T0,2025-04-02 00:48:56 UTC,107507799,question_extractor,1.0,5.2.0,,,,,
627457289,ejohnston8,2835326.0,28567,T1,2025-04-02 00:48:56 UTC,107507799,question_extractor,,5.2.0,,,,,
627457292,ejohnston8,2835326.0,28567,T0,2025-04-02 00:48:59 UTC,107507593,question_extractor,1.0,5.2.0,,,,,
627457292,ejohnston8,2835326.0,28567,T1,2025-04-02 00:48:59 UTC,107507593,question_extractor,,5.2.0,,,,,
627457307,ejohnston8,2835326.0,28567,T0,2025-04-02 00:49:04 UTC,107507800,question_extractor,1.0,5.2.0,,,,,
627457307,ejohnston8,2835326.0,28567,T1,2025-04-02 00:49:04 UTC,107507800,question_extractor,,5.2.0,,,,,
627457322,ejohnston8,2835326.0,28567,T0,2025-04-02 00:49:09 UTC,107507596,question_extractor,1.0,5.2.0,,,,,
627457322,ejohnston8,2835326.0,28567,T1,2025-04-02 00:49:09 UTC,107507596,question_extractor,,5.2.0,,,,,
627457402,ejohnston8,2835326.0,28567,T0,2025-04-02 00:49:44 UTC,107507799,question_extractor,1.0,5.2.0,,,,,
627457402,ejohnston8,2835326.0,28567,T1,2025-04-02 00:49:44 UTC,107507799,question_extractor,,5.2.0,,,,,
627457409,ejohnston8,2835326.0,28567,T0,2025-04-02 00:49:47 UTC,107507596,question_extractor,1.0,5.2.0,,,,,
627457409,ejohnston8,2835326.0,28567,T1,2025-04-02 00:49:47 UTC,107507596,question_extractor,,5.2.0,,,,,
627457424,ejohnston8,2835326.0,28567,T0,2025-04-02 00:49:54 UTC,107507796,question_extractor,,5.2.0,1.0,,,,
627457424,ejohnston8,2835326.0,28567,T1,2025-04-02 00:49:54 UTC,107507796,question_extractor,,5.2.0,,1.0,,,
627457439,ejohnston8,2835326.0,28567,T0,2025-04-02 00:49:59 UTC,107507800,question_extractor,1.0,5.2.0,,,,,
627457439,ejohnston8,2835326.0,28567,T1,2025-04-02 00:49:59 UTC,107507800,question_extractor,,5.2.0,,,,,
627457463,ejohnston8,2835326.0,28567,T0,2025-04-02 00:50:06 UTC,107507797,question_extractor,,5.2.0,1.0,,,,
627457463,ejohnston8,2835326.0,28567,T1,2025-04-02 00:50:06 UTC,107507797,question_extractor,,5.2.0,,,1.0,,
627457515,ejohnston8,2835326.0,28567,T0,2025-04-02 00:50:25 UTC,107507798,question_extractor,,5.2.0,1.0,,,,
627457515,ejohnston8,2835326.0,28567,T1,2025-04-02 00:50:25 UTC,107507798,question_extractor,,5.2.0,,1.0,,,
627457527,ejohnston8,2835326.0,28567,T0,2025-04-02 00:50:32 UTC,107507795,question_extractor,1.0,5.2.0,,,,,
627457527,ejohnston8,2835326.0,28567,T1,2025-04-02 00:50:32 UTC,107507795,question_extractor,,5.2.0,,,,,
627457534,ejohnston8,2835326.0,28567,T0,2025-04-02 00:50:34 UTC,107507595,question_extractor,1.0,5.2.0,,,,,
627457534,ejohnston8,2835326.0,28567,T1,2025-04-02 00:50:34 UTC,107507595,question_extractor,,5.2.0,,,,,
627457544,ejohnston8,2835326.0,28567,T0,2025-04-02 00:50:37 UTC,107507594,question_extractor,1.0,5.2.0,,,,,
627457544,ejohnston8,2835326.0,28567,T1,2025-04-02 00:50:37 UTC,107507594,question_extractor,,5.2.0,,,,,
627457554,ejohnston8,2835326.0,28567,T0,2025-04-02 00:50:39 UTC,107507597,question_extractor,1.0,5.2.0,,,,,
627457554,ejohnston8,2835326.0,28567,T1,2025-04-02 00:50:39 UTC,107507597,question_extractor,,5.2.0,,,,,
627457572,ejohnston8,2835326.0,28567,T0,2025-04-02 00:50:43 UTC,107507595,question_extractor,1.0,5.2.0,,,,,
627457572,ejohnston8,2835326.0,28567,T1,2025-04-02 00:50:43 UTC,107507595,question_extractor,,5.2.0,,,,,
627457584,ejohnston8,2835326.0,28567,T0,2025-04-02 00:50:48 UTC,107507798,question_extractor,,5.2.0,1.0,,,,
627457584,ejohnston8,2835326.0,28567,T1,2025-04-02 00:50:48 UTC,107507798,question_extractor,,5.2.0,,1.0,,,
627457589,ejohnston8,2835326.0,28567,T0,2025-04-02 00:50:51 UTC,107507592,question_extractor,1.0,5.2.0,,,,,
627457589,ejohnston8,2835326.0,28567,T1,2025-04-02 00:50:51 UTC,107507592,question_extractor,,5.2.0,,,,,
627457790,ejohnston8,2835326.0,28567,T0,2025-04-02 00:51:52 UTC,107507797,question_extractor,,5.2.0,1.0,,,,
627457790,ejohnston8,2835326.0,28567,T1,2025-04-02 00:51:52 UTC,107507797,question_extractor,,5.2.0,,,1.0,,
627457806,ejohnston8,2835326.0,28567,T0,2025-04-02 00:51:56 UTC,107507596,question_extractor,,5.2.0,1.0,,,,
627457806,ejohnston8,2835326.0,28567,T1,2025-04-02 00:51:56 UTC,107507596,question_extractor,,5.2.0,,,,1.0,
627457812,ejohnston8,2835326.0,28567,T0,2025-04-02 00:51:59 UTC,107507796,question_extractor,,5.2.0,1.0,,,,
627457812,ejohnston8,2835326.0,28567,T1,2025-04-02 00:51:59 UTC,107507796,question_extractor,,5.2.0,,,,1.0,
627457831,ejohnston8,2835326.0,28567,T0,2025-04-02 00:52:04 UTC,107507597,question_extractor,,5.2.0,1.0,,,,
627457831,ejohnston8,2835326.0,28567,T1,2025-04-02 00:52:04 UTC,107507597,question_extractor,,5.2.0,,,,1.0,
627457878,ejohnston8,2835326.0,28567,T0,2025-04-02 00:52:19 UTC,107507598,question_extractor,1.0,5.2.0,,,,,
627457878,ejohnston8,2835326.0,28567,T1,2025-04-02 00:52:19 UTC,107507598,question_extractor,,5.2.0,,,,,
627457890,ejohnston8,2835326.0,28567,T0,2025-04-02 00:52:22 UTC,107507798,question_extractor,1.0,5.2.0,,,,,
627457890,ejohnston8,2835326.0,28567,T1,2025-04-02 00:52:22 UTC,107507798,question_extractor,,5.2.0,,,,,
627457911,ejohnston8,2835326.0,28567,T0,2025-04-02 00:52:28 UTC,107507595,question_extractor,,5.2.0,1.0,,,,
627457911,ejohnston8,2835326.0,28567,T1,2025-04-02 00:52:28 UTC,107507595,question_extractor,,5.2.0,,,,1.0,
627457961,ejohnston8,2835326.0,28567,T0,2025-04-02 00:52:47 UTC,107507799,question_extractor,,5.2.0,1.0,,,,
627457961,ejohnston8,2835326.0,28567,T1,2025-04-02 00:52:47 UTC,107507799,question_extractor,,5.2.0,,,1.0,,
627458178,ejohnston8,2835326.0,28567,T0,2025-04-02 00:54:13 UTC,107507800,question_extractor,,5.2.0,1.0,,,,
627458178,ejohnston8,2835326.0,28567,T1,2025-04-02 00:54:13 UTC,107507800,question_extractor,,5.2.0,,,1.0,,
627685481,ejohnston8,2835326.0,28567,T0,2025-04-02 21:36:26 UTC,107507797,question_extractor,1.0,5.2.0,,,,,
627685481,ejohnston8,2835326.0,28567,T1,2025-04-02 21:36:26 UTC,107507797,question_extractor,,5.2.0,,,,,
627705184,ejohnston8,2835326.0,28567,T0,2025-04-02 23:24:29 UTC,107507597,question_extractor,1.0,5.2.0,,,,,
627705184,ejohnston8,2835326.0,28567,T1,2025-04-02 23:24:29 UTC,107507597,question_extractor,,5.2.0,,,,,
627961300,SarahShiers,2849214.0,28567,T0,2025-04-03 20:54:53 UTC,107912625,question_extractor,,5.2.0,1.0,,,,
627961300,SarahShiers,2849214.0,28567,T1,2025-04-03 20:54:53 UTC,107912625,question_extractor,,5.2.0,,1.0,,,
627961399,SarahShiers,2849214.0,28567,T0,2025-04-03 20:55:09 UTC,107912885,question_extractor,,5.2.0,1.0,,,,
627961399,SarahShiers,2849214.0,28567,T1,2025-04-03 20:55:09 UTC,107912885,question_extractor,,5.2.0,,1.0,,,
627961453,SarahShiers,2849214.0,28567,T0,2025-04-03 20:55:21 UTC,107912794,question_extractor,,5.2.0,1.0,,,,
627961453,SarahShiers,2849214.0,28567,T1,2025-04-03 20:55:21 UTC,107912794,question_extractor,,5.2.0,,1.0,,,
627961507,SarahShiers,2849214.0,28567,T0,2025-04-03 20:55:32 UTC,107912745,question_extractor,,5.2.0,1.0,,,,
627961507,SarahShiers,2849214.0,28567,T1,2025-04-03 20:55:32 UTC,107912745,question_extractor,,5.2.0,,1.0,,,
627961619,SarahShiers,2849214.0,28567,T0,2025-04-03 20:55:58 UTC,107912683,question_extractor,,5.2.0,1.0,,,,
627961619,SarahShiers,2849214.0,28567,T1,2025-04-03 20:55:58 UTC,107912683,question_extractor,,5.2.0,,1.0,,,
627961673,SarahShiers,2849214.0,28567,T0,2025-04-03 20:56:09 UTC,107912839,question_extractor,,5.2.0,1.0,,,,
627961673,SarahShiers,2849214.0,28567,T1,2025-04-03 20:56:09 UTC,107912839,question_extractor,,5.2.0,,1.0,,,
627964765,SarahShiers,2849214.0,28567,T0,2025-04-03 21:05:59 UTC,107912952,question_extractor,,5.2.0,1.0,,,,
627964765,SarahShiers,2849214.0,28567,T1,2025-04-03 21:05:59 UTC,107912952,question_extractor,,5.2.0,,1.0,,,
627964813,SarahShiers,2849214.0,28567,T0,2025-04-03 21:06:08 UTC,107912866,question_extractor,,5.2.0,1.0,,,,
627964813,SarahShiers,2849214.0,28567,T1,2025-04-03 21:06:08 UTC,107912866,question_extractor,,5.2.0,,1.0,,,
627964865,SarahShiers,2849214.0,28567,T0,2025-04-03 21:06:18 UTC,107912650,question_extractor,,5.2.0,1.0,,,,
627964865,SarahShiers,2849214.0,28567,T1,2025-04-03 21:06:18 UTC,107912650,question_extractor,,5.2.0,,1.0,,,
627964937,SarahShiers,2849214.0,28567,T0,2025-04-03 21:06:33 UTC,107912812,question_extractor,1.0,5.2.0,,,,,
627964937,SarahShiers,2849214.0,28567,T1,2025-04-03 21:06:33 UTC,107912812,question_extractor,,5.2.0,,,,,
627964988,SarahShiers,2849214.0,28567,T0,2025-04-03 21:06:43 UTC,107912743,question_extractor,,5.2.0,1.0,,,,
627964988,SarahShiers,2849214.0,28567,T1,2025-04-03 21:06:43 UTC,107912743,question_extractor,,5.2.0,,1.0,,,
627965026,SarahShiers,2849214.0,28567,T0,2025-04-03 21:06:51 UTC,107912876,question_extractor,1.0,5.2.0,,,,,
627965026,SarahShiers,2849214.0,28567,T1,2025-04-03 21:06:51 UTC,107912876,question_extractor,,5.2.0,,,,,
627965079,SarahShiers,2849214.0,28567,T0,2025-04-03 21:07:01 UTC,107912938,question_extractor,,5.2.0,1.0,,,,
627965079,SarahShiers,2849214.0,28567,T1,2025-04-03 21:07:01 UTC,107912938,question_extractor,,5.2.0,,1.0,,,
627965119,SarahShiers,2849214.0,28567,T0,2025-04-03 21:07:10 UTC,107912695,question_extractor,,5.2.0,1.0,,,,
627965119,SarahShiers,2849214.0,28567,T1,2025-04-03 21:07:10 UTC,107912695,question_extractor,,5.2.0,,1.0,,,
627965165,SarahShiers,2849214.0,28567,T0,2025-04-03 21:07:19 UTC,107912953,question_extractor,,5.2.0,1.0,,,,
627965165,SarahShiers,2849214.0,28567,T1,2025-04-03 21:07:19 UTC,107912953,question_extractor,,5.2.0,,1.0,,,
627966177,SarahShiers,2849214.0,28567,T0,2025-04-03 21:10:37 UTC,107912810,question_extractor,,5.2.0,1.0,,,,
627966177,SarahShiers,2849214.0,28567,T1,2025-04-03 21:10:37 UTC,107912810,question_extractor,,5.2.0,,1.0,,,
627966264,SarahShiers,2849214.0,28567,T0,2025-04-03 21:10:59 UTC,107912902,question_extractor,,5.2.0,1.0,,,,
627966264,SarahShiers,2849214.0,28567,T1,2025-04-03 21:10:59 UTC,107912902,question_extractor,,5.2.0,,1.0,,,
627966315,SarahShiers,2849214.0,28567,T0,2025-04-03 21:11:11 UTC,107912718,question_extractor,,5.2.0,1.0,,,,
627966315,SarahShiers,2849214.0,28567,T1,2025-04-03 21:11:11 UTC,107912718,question_extractor,,5.2.0,,1.0,,,
627966322,SarahShiers,2849214.0,28567,T0,2025-04-03 21:11:15 UTC,107912659,question_extractor,1.0,5.2.0,,,,,
627966322,SarahShiers,2849214.0,28567,T1,2025-04-03 21:11:15 UTC,107912659,question_extractor,,5.2.0,,,,,
627966454,SarahShiers,2849214.0,28567,T0,2025-04-03 21:11:44 UTC,107912652,question_extractor,,5.2.0,1.0,,,,
627966454,SarahShiers,2849214.0,28567,T1,2025-04-03 21:11:44 UTC,107912652,question_extractor,,5.2.0,,1.0,,,
627966486,SarahShiers,2849214.0,28567,T0,2025-04-03 21:11:53 UTC,107912676,question_extractor,,5.2.0,1.0,,,,
627966486,SarahShiers,2849214.0,28567,T1,2025-04-03 21:11:53 UTC,107912676,question_extractor,,5.2.0,,1.0,,,
627966559,SarahShiers,2849214.0,28567,T0,2025-04-03 21:12:09 UTC,107912669,question_extractor,,5.2.0,1.0,,,,
627966559,SarahShiers,2849214.0,28567,T1,2025-04-03 21:12:09 UTC,107912669,question_extractor,,5.2.0,,1.0,,,
627966597,SarahShiers,2849214.0,28567,T0,2025-04-03 21:12:17 UTC,107912861,question_extractor,,5.2.0,1.0,,,,
627966597,SarahShiers,2849214.0,28567,T1,2025-04-03 21:12:17 UTC,107912861,question_extractor,,5.2.0,,1.0,,,
627966631,SarahShiers,2849214.0,28567,T0,2025-04-03 21:12:24 UTC,107912740,question_extractor,,5.2.0,1.0,,,,
627966631,SarahShiers,2849214.0,28567,T1,2025-04-03 21:12:24 UTC,107912740,question_extractor,,5.2.0,,1.0,,,
627966669,SarahShiers,2849214.0,28567,T0,2025-04-03 21:12:31 UTC,107912648,question_extractor,1.0,5.2.0,,,,,
627966669,SarahShiers,2849214.0,28567,T1,2025-04-03 21:12:31 UTC,107912648,question_extractor,,5.2.0,,,,,
627966721,SarahShiers,2849214.0,28567,T0,2025-04-03 21:12:40 UTC,107912649,question_extractor,,5.2.0,1.0,,,,
627966721,SarahShiers,2849214.0,28567,T1,2025-04-03 21:12:40 UTC,107912649,question_extractor,,5.2.0,,1.0,,,
627966753,SarahShiers,2849214.0,28567,T0,2025-04-03 21:12:47 UTC,107912840,question_extractor,,5.2.0,1.0,,,,
627966753,SarahShiers,2849214.0,28567,T1,2025-04-03 21:12:47 UTC,107912840,question_extractor,,5.2.0,,1.0,,,
627966816,SarahShiers,2849214.0,28567,T0,2025-04-03 21:13:01 UTC,107912847,question_extractor,1.0,5.2.0,,,,,
627966816,SarahShiers,2849214.0,28567,T1,2025-04-03 21:13:01 UTC,107912847,question_extractor,,5.2.0,,,,,
627966863,SarahShiers,2849214.0,28567,T0,2025-04-03 21:13:12 UTC,107912622,question_extractor,,5.2.0,1.0,,,,
627966863,SarahShiers,2849214.0,28567,T1,2025-04-03 21:13:12 UTC,107912622,question_extractor,,5.2.0,,1.0,,,
627966881,SarahShiers,2849214.0,28567,T0,2025-04-03 21:13:15 UTC,107912769,question_extractor,1.0,5.2.0,,,,,
627966881,SarahShiers,2849214.0,28567,T1,2025-04-03 21:13:15 UTC,107912769,question_extractor,,5.2.0,,,,,
627966907,SarahShiers,2849214.0,28567,T0,2025-04-03 21:13:23 UTC,107912796,question_extractor,,5.2.0,1.0,,,,
627966907,SarahShiers,2849214.0,28567,T1,2025-04-03 21:13:23 UTC,107912796,question_extractor,,5.2.0,,,,1.0,
627967587,SarahShiers,2849214.0,28567,T0,2025-04-03 21:15:41 UTC,107912697,question_extractor,,5.2.0,1.0,,,,
627967587,SarahShiers,2849214.0,28567,T1,2025-04-03 21:15:41 UTC,107912697,question_extractor,,5.2.0,,1.0,,,
627967669,SarahShiers,2849214.0,28567,T0,2025-04-03 21:15:55 UTC,107912823,question_extractor,,5.2.0,1.0,,,,
627967669,SarahShiers,2849214.0,28567,T1,2025-04-03 21:15:55 UTC,107912823,question_extractor,,5.2.0,,1.0,,,
627967687,SarahShiers,2849214.0,28567,T0,2025-04-03 21:15:58 UTC,107912727,question_extractor,1.0,5.2.0,,,,,
627967687,SarahShiers,2849214.0,28567,T1,2025-04-03 21:15:58 UTC,107912727,question_extractor,,5.2.0,,,,,
627967740,SarahShiers,2849214.0,28567,T0,2025-04-03 21:16:09 UTC,107912623,question_extractor,,5.2.0,1.0,,,,
627967740,SarahShiers,2849214.0,28567,T1,2025-04-03 21:16:09 UTC,107912623,question_extractor,,5.2.0,,1.0,,,
627967783,SarahShiers,2849214.0,28567,T0,2025-04-03 21:16:16 UTC,107912929,question_extractor,,5.2.0,1.0,,,,
627967783,SarahShiers,2849214.0,28567,T1,2025-04-03 21:16:16 UTC,107912929,question_extractor,,5.2.0,,1.0,,,
627967806,SarahShiers,2849214.0,28567,T0,2025-04-03 21:16:22 UTC,107912855,question_extractor,1.0,5.2.0,,,,,
627967806,SarahShiers,2849214.0,28567,T1,2025-04-03 21:16:22 UTC,107912855,question_extractor,,5.2.0,,,,,
627967839,SarahShiers,2849214.0,28567,T0,2025-04-03 21:16:29 UTC,107912805,question_extractor,,5.2.0,1.0,,,,
627967839,SarahShiers,2849214.0,28567,T1,2025-04-03 21:16:29 UTC,107912805,question_extractor,,5.2.0,,1.0,,,
627967877,SarahShiers,2849214.0,28567,T0,2025-04-03 21:16:37 UTC,107912664,question_extractor,,5.2.0,1.0,,,,
627967877,SarahShiers,2849214.0,28567,T1,2025-04-03 21:16:37 UTC,107912664,question_extractor,,5.2.0,,1.0,,,
627968260,SarahShiers,2849214.0,28567,T0,2025-04-03 21:17:57 UTC,107912948,question_extractor,,5.2.0,1.0,,,,
627968260,SarahShiers,2849214.0,28567,T1,2025-04-03 21:17:57 UTC,107912948,question_extractor,,5.2.0,,1.0,,,
627968282,SarahShiers,2849214.0,28567,T0,2025-04-03 21:18:03 UTC,107912838,question_extractor,1.0,5.2.0,,,,,
